goal_id,driver_id,date,shift_start_time,shift_end_time,target_earnings,target_hours,current_earnings,current_hours,status,earnings_velocity,goal_completion_forecast
GOAL001,DRV001,2024-02-06,06:30:00,14:30:00,1400,8.0,1423,7.5,achieved,189.73,on_track
GOAL002,DRV002,2024-02-06,17:00:00,23:00:00,1200,6.0,925,3.5,in_progress,264.29,on_track
GOAL003,DRV003,2024-02-06,07:30:00,17:30:00,1750,10.0,1148,5.2,in_progress,220.77,on_track
GOAL004,DRV004,2024-02-06,06:00:00,13:00:00,1100,7.0,403,2.3,in_progress,175.22,at_risk
GOAL005,DRV005,2024-02-06,13:30:00,20:30:00,1300,7.0,546,2.8,in_progress,195.00,on_track
GOAL006,DRV006,2024-02-06,17:30:00,23:30:00,1500,6.0,633,2.5,in_progress,253.20,on_track
GOAL007,DRV007,2024-02-06,06:30:00,13:30:00,1200,7.0,245,2.0,in_progress,122.50,at_risk
GOAL008,DRV008,2024-02-06,08:00:00,18:00:00,1700,10.0,856,4.5,in_progress,190.22,on_track
GOAL009,DRV009,2024-02-06,14:00:00,20:00:00,1100,6.0,384,2.0,in_progress,192.00,on_track
GOAL010,DRV010,2024-02-06,06:00:00,13:00:00,1300,7.0,728,4.2,in_progress,173.33,at_risk
GOAL011,DRV012,2024-02-06,09:08:00,19:18:00,1719,7.9,1530,3.9,achieved,392.31,at_risk
GOAL012,DRV013,2024-02-06,09:08:00,16:18:00,1297,6.9,1036,6.5,in_progress,159.38,at_risk
GOAL013,DRV014,2024-02-06,09:14:00,16:24:00,1309,6.3,1099,7.1,achieved,154.79,ahead
GOAL014,DRV015,2024-02-06,08:55:00,17:05:00,1352,7.7,285,5.5,achieved,51.82,ahead
GOAL015,DRV016,2024-02-06,08:25:00,18:35:00,1685,8.4,1275,5.7,at_risk,223.68,on_track
GOAL016,DRV017,2024-02-06,10:06:00,19:16:00,1567,9.3,286,7.2,in_progress,39.72,ahead
GOAL017,DRV018,2024-02-06,10:25:00,16:35:00,1671,7.5,1491,7.8,in_progress,191.15,at_risk
GOAL018,DRV019,2024-02-06,09:25:00,17:35:00,1392,7.8,1065,3.4,in_progress,313.24,ahead
GOAL019,DRV020,2024-02-06,10:57:00,17:07:00,1574,9.3,1125,2.1,at_risk,535.71,on_track
GOAL020,DRV021,2024-02-06,07:49:00,17:59:00,1659,6.5,1046,3.6,in_progress,290.56,on_track
GOAL021,DRV022,2024-02-06,09:37:00,16:47:00,1565,6.4,863,6.0,at_risk,143.83,on_track
GOAL022,DRV023,2024-02-06,06:05:00,12:15:00,1560,8.5,374,4.9,achieved,76.33,ahead
GOAL023,DRV024,2024-02-06,10:39:00,17:49:00,1487,8.2,289,6.5,achieved,44.46,ahead
GOAL024,DRV025,2024-02-06,07:10:00,14:20:00,1283,9.1,305,4.2,achieved,72.62,ahead
GOAL025,DRV026,2024-02-06,09:18:00,16:28:00,1220,9.6,1183,2.8,at_risk,422.5,at_risk
GOAL026,DRV027,2024-02-06,06:29:00,15:39:00,1610,8.2,211,5.5,achieved,38.36,on_track
GOAL027,DRV028,2024-02-06,07:37:00,16:47:00,1564,7.6,362,5.4,in_progress,67.04,on_track
GOAL028,DRV029,2024-02-06,10:17:00,20:27:00,1743,8.2,625,1.8,in_progress,347.22,on_track
GOAL029,DRV030,2024-02-06,08:02:00,15:12:00,1133,8.7,1058,5.4,achieved,195.93,on_track
GOAL030,DRV031,2024-02-06,06:06:00,15:16:00,1282,6.6,782,5.5,at_risk,142.18,ahead
GOAL031,DRV032,2024-02-06,10:36:00,20:46:00,1281,9.9,937,7.6,in_progress,123.29,at_risk
GOAL032,DRV033,2024-02-06,08:23:00,17:33:00,1169,9.0,1063,5.1,achieved,208.43,at_risk
GOAL033,DRV034,2024-02-06,07:07:00,15:17:00,1437,8.1,1274,2.9,in_progress,439.31,ahead
GOAL034,DRV035,2024-02-06,06:06:00,16:16:00,1744,8.1,379,4.6,at_risk,82.39,ahead
GOAL035,DRV036,2024-02-06,08:27:00,18:37:00,1424,7.0,1377,8.0,achieved,172.12,on_track
GOAL036,DRV037,2024-02-06,10:36:00,19:46:00,1632,8.9,1219,4.7,in_progress,259.36,ahead
GOAL037,DRV038,2024-02-06,07:45:00,15:55:00,1298,6.0,249,4.5,in_progress,55.33,ahead
GOAL038,DRV039,2024-02-06,07:51:00,17:01:00,1524,7.7,883,3.8,at_risk,232.37,on_track
GOAL039,DRV040,2024-02-06,06:40:00,13:50:00,1388,7.0,338,3.5,at_risk,96.57,ahead
GOAL040,DRV041,2024-02-06,08:49:00,14:59:00,1216,8.7,549,4.1,at_risk,133.9,ahead
GOAL041,DRV042,2024-02-06,06:53:00,13:03:00,1298,7.3,892,7.5,achieved,118.93,at_risk
GOAL042,DRV043,2024-02-06,06:41:00,13:51:00,1593,6.6,1143,7.3,at_risk,156.58,at_risk
GOAL043,DRV044,2024-02-06,09:50:00,18:00:00,1157,9.3,506,5.2,at_risk,97.31,at_risk
GOAL044,DRV045,2024-02-06,10:34:00,16:44:00,1313,8.3,879,6.7,achieved,131.19,on_track
GOAL045,DRV046,2024-02-06,07:17:00,13:27:00,1447,9.9,1294,7.0,at_risk,184.86,ahead
GOAL046,DRV047,2024-02-06,09:11:00,19:21:00,1219,9.5,969,3.5,achieved,276.86,ahead
GOAL047,DRV048,2024-02-06,06:17:00,15:27:00,1188,8.0,443,3.9,achieved,113.59,on_track
GOAL048,DRV049,2024-02-06,10:19:00,17:29:00,1214,7.5,238,6.6,in_progress,36.06,at_risk
GOAL049,DRV050,2024-02-06,10:01:00,19:11:00,1612,6.6,896,7.5,at_risk,119.47,ahead
GOAL050,DRV051,2024-02-06,08:49:00,16:59:00,1246,9.1,401,6.8,at_risk,58.97,ahead
