flag_id,trip_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG001,TRIP001,2024-02-06 06:04:52,292,argument,medium,0.8,0.85,0.66,Audio argument (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG002,TRIP001,2024-02-06 06:08:55,535,conversation,high,0.8,0.85,0.82,Audio conversation (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG003,TRIP001,2024-02-06 06:10:11,611,very_loud,medium,0.8,0.85,0.66,Audio very_loud (86 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG004,TRIP001,2024-02-06 06:20:22,1222,conversation,medium,0.8,0.7,0.6,Audio conversation (80 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG005,TRIP002,2024-02-06 06:04:40,280,conversation,high,0.8,0.95,0.9,Audio conversation (95 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG006,TRIP002,2024-02-06 06:27:37,1657,loud,high,0.8,0.95,0.89,Audio loud (92 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG007,TRIP002,2024-02-06 07:22:00,420,very_loud,medium,0.8,0.85,0.66,Audio very_loud (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG008,TRIP002,2024-02-06 07:22:30,450,very_loud,high,0.8,0.95,0.89,Audio very_loud (92 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG009,TRIP002,2024-02-06 07:23:00,480,argument,high,0.8,0.95,0.9,Audio argument (95 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG010,TRIP002,2024-02-06 07:23:30,510,argument,high,0.8,0.95,0.9,Audio argument (94 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG011,TRIP002,2024-02-06 07:24:00,540,very_loud,medium,0.8,0.85,0.66,Audio very_loud (89 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG012,TRIP002,2024-02-06 07:24:30,570,loud,medium,0.8,0.7,0.6,Audio loud (82 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG013,TRIP002,2024-02-06 07:25:00,600,loud,medium,0.8,0.7,0.6,Audio loud (75 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG014,TRIP003,2024-02-06 06:01:33,93,very_loud,high,0.8,0.85,0.81,Audio very_loud (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
