trip_id,driver_id,start_datetime,end_datetime,duration_min,distance_km,fare,surge_multiplier,flagged_moments_count,stress_score,trip_quality_rating
TRIP001,DRV107,2024-02-06 06:45:00,2024-02-06 07:03:00,18,8.2,145,1.0,4.0,0.685,fair
TRIP002,DRV188,2024-02-06 07:15:00,2024-02-06 07:38:00,23,12.4,220,1.2,9.0,0.7777777777777778,poor
TRIP003,DRV003,2024-02-06 07:52:00,2024-02-06 08:15:00,23,9.8,175,1.0,8.0,0.7875,poor
TRIP004,DRV210,2024-02-06 08:28:00,2024-02-06 08:52:00,24,11.2,198,1.0,1.0,0.6,fair
TRIP005,DRV206,2024-02-06 09:15:00,2024-02-06 09:42:00,27,14.5,258,1.3,5.0,0.716,poor
TRIP006,DRV077,2024-02-06 10:05:00,2024-02-06 10:28:00,23,10.1,182,1.0,8.0,0.705,poor
TRIP007,DRV095,2024-02-06 10:48:00,2024-02-06 11:15:00,27,13.8,245,1.0,0.0,0.0,excellent
TRIP008,DRV050,2024-02-06 17:30:00,2024-02-06 17:58:00,28,15.2,312,1.5,1.0,0.9,poor
TRIP009,DRV070,2024-02-06 18:15:00,2024-02-06 18:42:00,27,12.8,268,1.4,2.0,0.8049999999999999,poor
TRIP010,DRV145,2024-02-06 19:05:00,2024-02-06 19:35:00,30,16.5,345,1.6,12.0,0.7425,poor
TRIP011,DRV112,2024-02-06 08:00:00,2024-02-06 08:32:00,32,18.7,385,1.2,4.0,0.745,poor
TRIP012,DRV042,2024-02-06 08:50:00,2024-02-06 09:18:00,28,14.2,295,1.0,3.0,0.7733333333333333,poor
TRIP013,DRV096,2024-02-06 09:45:00,2024-02-06 10:22:00,37,22.5,468,1.3,2.0,0.58,fair
TRIP014,DRV032,2024-02-06 06:30:00,2024-02-06 06:52:00,22,9.5,168,1.0,0.0,0.0,excellent
TRIP015,DRV111,2024-02-06 07:10:00,2024-02-06 07:38:00,28,13.2,235,1.0,4.0,0.58,fair
TRIP016,DRV067,2024-02-06 14:00:00,2024-02-06 14:28:00,28,12.8,228,1.0,0.0,0.0,excellent
TRIP017,DRV144,2024-02-06 14:52:00,2024-02-06 15:25:00,33,16.2,318,1.2,0.0,0.0,excellent
TRIP018,DRV161,2024-02-06 18:00:00,2024-02-06 18:32:00,32,14.5,298,1.4,3.0,0.7966666666666667,poor
TRIP019,DRV045,2024-02-06 19:05:00,2024-02-06 19:38:00,33,15.8,335,1.5,1.0,0.58,fair
TRIP020,DRV157,2024-02-06 07:00:00,2024-02-06 07:28:00,28,13.2,245,1.0,0.0,0.0,excellent
TRIP021,DRV142,2024-02-06 15:27:00,2024-02-06 15:59:00,32,13.5,156,1.1,4.0,0.63,fair
TRIP022,DRV048,2024-02-06 16:34:00,2024-02-07 16:01:00,27,18.6,224,1.3,5.0,0.852,poor
TRIP023,DRV091,2024-02-06 17:41:00,2024-02-07 17:11:00,30,13.8,196,1.3,1.0,0.41,fair
TRIP024,DRV189,2024-02-06 06:48:00,2024-02-07 06:23:00,35,16.2,432,1.3,2.0,0.63,fair
TRIP025,DRV188,2024-02-06 07:55:00,2024-02-07 07:29:00,34,8.7,274,1.3,1.0,0.58,fair
TRIP026,DRV024,2024-02-06 08:02:00,2024-02-06 08:31:00,29,17.2,285,1.2,6.0,0.7200000000000001,poor
TRIP027,DRV136,2024-02-06 09:09:00,2024-02-06 09:28:00,19,9.5,327,1.2,3.0,0.58,fair
TRIP028,DRV189,2024-02-06 10:16:00,2024-02-06 10:34:00,18,17.2,314,1.2,2.0,0.58,fair
TRIP029,DRV106,2024-02-06 11:23:00,2024-02-06 11:52:00,29,12.9,168,1.4,2.0,0.58,fair
TRIP030,DRV150,2024-02-06 12:30:00,2024-02-06 12:57:00,27,15.1,173,1.5,5.0,0.6599999999999999,fair
TRIP031,DRV130,2024-02-06 13:37:00,2024-02-07 13:00:00,23,8.2,306,1.0,0.0,0.0,excellent
TRIP032,DRV043,2024-02-06 14:44:00,2024-02-07 14:20:00,36,14.2,355,1.2,0.0,0.0,excellent
TRIP033,DRV038,2024-02-06 15:51:00,2024-02-07 15:27:00,36,8.3,302,1.2,0.0,0.0,excellent
TRIP034,DRV053,2024-02-06 16:58:00,2024-02-07 16:34:00,36,9.2,390,1.1,0.0,0.0,excellent
TRIP035,DRV185,2024-02-06 17:05:00,2024-02-06 17:33:00,28,14.0,313,1.1,0.0,0.0,excellent
TRIP036,DRV020,2024-02-06 06:12:00,2024-02-06 06:43:00,31,10.4,178,1.5,0.0,0.0,excellent
TRIP037,DRV049,2024-02-06 07:19:00,2024-02-06 07:46:00,27,11.2,292,1.6,0.0,0.0,excellent
TRIP038,DRV088,2024-02-06 08:26:00,2024-02-06 08:51:00,25,15.5,187,1.4,0.0,0.0,excellent
TRIP039,DRV083,2024-02-06 09:33:00,2024-02-07 09:09:00,36,12.0,174,1.3,0.0,0.0,excellent
TRIP040,DRV007,2024-02-06 10:40:00,2024-02-07 10:11:00,31,10.5,179,1.4,0.0,0.0,excellent
TRIP041,DRV118,2024-02-06 11:47:00,2024-02-07 11:14:00,27,13.2,416,1.2,0.0,0.0,excellent
TRIP042,DRV087,2024-02-06 12:54:00,2024-02-07 12:20:00,26,15.5,372,1.4,0.0,0.0,excellent
TRIP043,DRV007,2024-02-06 13:01:00,2024-02-06 13:19:00,18,15.5,404,1.5,0.0,0.0,excellent
TRIP044,DRV131,2024-02-06 14:08:00,2024-02-06 14:32:00,24,15.9,379,1.2,0.0,0.0,excellent
TRIP045,DRV177,2024-02-06 15:15:00,2024-02-06 15:52:00,37,18.2,362,1.6,0.0,0.0,excellent
TRIP046,DRV191,2024-02-06 16:22:00,2024-02-06 16:41:00,19,14.3,326,1.3,0.0,0.0,excellent
TRIP047,DRV107,2024-02-06 17:29:00,2024-02-06 17:56:00,27,18.1,350,1.2,0.0,0.0,excellent
TRIP048,DRV001,2024-02-06 06:36:00,2024-02-07 06:14:00,38,10.4,351,1.2,0.0,0.0,excellent
TRIP049,DRV002,2024-02-06 07:43:00,2024-02-07 07:06:00,23,11.1,447,1.1,0.0,0.0,excellent
TRIP050,DRV170,2024-02-06 08:50:00,2024-02-07 08:12:00,22,10.3,265,1.5,0.0,0.0,excellent
TRIP051,DRV042,2024-02-06 09:57:00,2024-02-07 09:30:00,33,14.7,363,1.3,0.0,0.0,excellent
TRIP052,DRV198,2024-02-06 10:04:00,2024-02-06 10:27:00,23,11.3,154,1.2,0.0,0.0,excellent
TRIP053,DRV149,2024-02-06 11:11:00,2024-02-06 11:46:00,35,10.1,161,1.6,0.0,0.0,excellent
TRIP054,DRV046,2024-02-06 12:18:00,2024-02-06 12:36:00,18,8.7,182,1.2,0.0,0.0,excellent
TRIP055,DRV074,2024-02-06 13:25:00,2024-02-06 13:56:00,31,18.8,186,1.2,0.0,0.0,excellent
TRIP056,DRV026,2024-02-06 14:32:00,2024-02-06 14:54:00,22,10.8,432,1.4,0.0,0.0,excellent
TRIP057,DRV168,2024-02-06 15:39:00,2024-02-07 15:15:00,36,19.4,408,1.2,0.0,0.0,excellent
TRIP058,DRV107,2024-02-06 16:46:00,2024-02-07 16:23:00,37,9.5,300,1.2,0.0,0.0,excellent
TRIP059,DRV028,2024-02-06 17:53:00,2024-02-07 17:23:00,30,17.7,260,1.6,0.0,0.0,excellent
TRIP060,DRV175,2024-02-06 06:00:00,2024-02-06 06:21:00,21,10.1,280,1.3,0.0,0.0,excellent
TRIP061,DRV148,2024-02-06 07:07:00,2024-02-06 07:26:00,19,13.9,331,1.4,0.0,0.0,excellent
TRIP062,DRV047,2024-02-06 08:14:00,2024-02-06 08:49:00,35,13.1,266,1.6,0.0,0.0,excellent
TRIP063,DRV189,2024-02-06 09:21:00,2024-02-06 09:50:00,29,13.7,328,1.5,0.0,0.0,excellent
TRIP064,DRV097,2024-02-06 10:28:00,2024-02-07 10:05:00,37,8.4,167,1.4,0.0,0.0,excellent
TRIP065,DRV060,2024-02-06 11:35:00,2024-02-07 11:00:00,25,11.0,336,1.2,0.0,0.0,excellent
TRIP066,DRV135,2024-02-06 12:42:00,2024-02-07 12:03:00,21,14.4,261,1.5,0.0,0.0,excellent
TRIP067,DRV153,2024-02-06 13:49:00,2024-02-07 13:19:00,30,19.1,270,1.2,0.0,0.0,excellent
TRIP068,DRV182,2024-02-06 14:56:00,2024-02-07 14:21:00,25,11.6,222,1.5,0.0,0.0,excellent
TRIP069,DRV085,2024-02-06 15:03:00,2024-02-06 15:41:00,38,12.9,157,1.2,0.0,0.0,excellent
TRIP070,DRV207,2024-02-06 16:10:00,2024-02-06 16:43:00,33,13.7,351,1.6,0.0,0.0,excellent
TRIP071,DRV011,2024-02-06 17:17:00,2024-02-06 17:48:00,31,18.5,191,1.5,0.0,0.0,excellent
TRIP072,DRV060,2024-02-06 06:24:00,2024-02-06 06:58:00,34,8.8,355,1.4,0.0,0.0,excellent
TRIP073,DRV031,2024-02-06 07:31:00,2024-02-06 07:59:00,28,13.4,154,1.5,0.0,0.0,excellent
TRIP074,DRV128,2024-02-06 08:38:00,2024-02-07 08:16:00,38,13.3,209,1.0,0.0,0.0,excellent
TRIP075,DRV056,2024-02-06 09:45:00,2024-02-07 09:12:00,27,11.8,182,1.1,0.0,0.0,excellent
TRIP076,DRV189,2024-02-06 10:52:00,2024-02-07 10:30:00,38,17.2,444,1.4,0.0,0.0,excellent
TRIP077,DRV206,2024-02-06 11:59:00,2024-02-07 11:31:00,32,13.7,208,1.2,0.0,0.0,excellent
TRIP078,DRV194,2024-02-06 12:06:00,2024-02-06 12:34:00,28,17.6,241,1.1,0.0,0.0,excellent
TRIP079,DRV143,2024-02-06 13:13:00,2024-02-06 13:43:00,30,18.5,432,1.1,0.0,0.0,excellent
TRIP080,DRV172,2024-02-06 14:20:00,2024-02-06 14:58:00,38,15.3,257,1.5,0.0,0.0,excellent
TRIP081,DRV048,2024-02-06 15:27:00,2024-02-06 15:53:00,26,16.4,226,1.0,0.0,0.0,excellent
TRIP082,DRV066,2024-02-06 16:34:00,2024-02-07 16:11:00,37,11.1,185,1.6,0.0,0.0,excellent
TRIP083,DRV151,2024-02-06 17:41:00,2024-02-07 17:02:00,21,8.2,409,1.3,0.0,0.0,excellent
TRIP084,DRV112,2024-02-06 06:48:00,2024-02-07 06:21:00,33,9.4,244,1.1,0.0,0.0,excellent
TRIP085,DRV133,2024-02-06 07:55:00,2024-02-07 07:21:00,26,11.5,393,1.2,0.0,0.0,excellent
TRIP086,DRV034,2024-02-06 08:02:00,2024-02-06 08:39:00,37,10.6,284,1.4,0.0,0.0,excellent
TRIP087,DRV011,2024-02-06 09:09:00,2024-02-06 09:32:00,23,12.9,214,1.0,0.0,0.0,excellent
TRIP088,DRV043,2024-02-06 10:16:00,2024-02-06 10:53:00,37,13.4,267,1.2,0.0,0.0,excellent
TRIP089,DRV078,2024-02-06 11:23:00,2024-02-06 11:55:00,32,9.0,380,1.1,0.0,0.0,excellent
TRIP090,DRV003,2024-02-06 12:30:00,2024-02-07 12:00:00,30,16.2,336,1.4,0.0,0.0,excellent
TRIP091,DRV039,2024-02-06 13:37:00,2024-02-07 13:03:00,26,8.9,425,1.0,0.0,0.0,excellent
TRIP092,DRV059,2024-02-06 14:44:00,2024-02-07 14:17:00,33,18.9,450,1.6,0.0,0.0,excellent
TRIP093,DRV090,2024-02-06 15:51:00,2024-02-07 15:10:00,19,8.1,398,1.4,0.0,0.0,excellent
TRIP094,DRV139,2024-02-06 16:58:00,2024-02-07 16:27:00,29,9.6,426,1.0,0.0,0.0,excellent
TRIP095,DRV088,2024-02-06 17:05:00,2024-02-06 17:28:00,23,14.0,313,1.5,0.0,0.0,excellent
TRIP096,DRV041,2024-02-06 06:12:00,2024-02-06 06:40:00,28,16.5,361,1.1,0.0,0.0,excellent
TRIP097,DRV099,2024-02-06 07:19:00,2024-02-06 07:38:00,19,19.7,395,1.5,0.0,0.0,excellent
TRIP098,DRV083,2024-02-06 08:26:00,2024-02-06 08:55:00,29,19.1,284,1.5,0.0,0.0,excellent
TRIP099,DRV004,2024-02-06 09:33:00,2024-02-06 09:59:00,26,14.2,363,1.5,0.0,0.0,excellent
TRIP100,DRV013,2024-02-06 10:40:00,2024-02-07 10:13:00,33,17.2,217,1.3,0.0,0.0,excellent
TRIP101,DRV016,2024-02-06 11:47:00,2024-02-07 11:19:00,32,8.6,216,1.0,0.0,0.0,excellent
TRIP102,DRV183,2024-02-06 12:54:00,2024-02-07 12:27:00,33,11.1,379,1.3,0.0,0.0,excellent
TRIP103,DRV114,2024-02-06 13:01:00,2024-02-06 13:33:00,32,12.3,427,1.3,0.0,0.0,excellent
TRIP104,DRV021,2024-02-06 14:08:00,2024-02-06 14:30:00,22,9.5,187,1.1,0.0,0.0,excellent
TRIP105,DRV100,2024-02-06 15:15:00,2024-02-06 15:38:00,23,17.0,279,1.3,0.0,0.0,excellent
TRIP106,DRV205,2024-02-06 16:22:00,2024-02-06 16:46:00,24,15.0,142,1.3,0.0,0.0,excellent
TRIP107,DRV046,2024-02-06 17:29:00,2024-02-07 17:00:00,31,19.0,266,1.5,0.0,0.0,excellent
TRIP108,DRV202,2024-02-06 06:36:00,2024-02-07 06:04:00,28,8.3,202,1.2,0.0,0.0,excellent
TRIP109,DRV003,2024-02-06 07:43:00,2024-02-07 07:11:00,28,9.8,181,1.3,0.0,0.0,excellent
TRIP110,DRV198,2024-02-06 08:50:00,2024-02-07 08:23:00,33,13.4,277,1.4,0.0,0.0,excellent
TRIP111,DRV183,2024-02-06 09:57:00,2024-02-07 09:16:00,19,15.9,371,1.2,0.0,0.0,excellent
TRIP112,DRV095,2024-02-06 10:04:00,2024-02-06 10:40:00,36,9.6,164,1.5,0.0,0.0,excellent
